simulationId,simulationRun,trial,response,stimulus,trueMu,trueSigma,trueSaturation,trueGamma,trueLambda,estimatedMu,estimatedSigma,estimatedSaturation,estimatedGamma,estimatedLambda
 0,0,1,True,0.0232710540294647,-0.1,0.001,0,0,0,-0.0698131695389748,0.100500000524335,0.0500000007450581,0,0
0,0,2,True,0.116355285048485,-0.1,0.001,0,0,0,-0.162897400557995,0.100500000524335,0.0500000007450581,0,0
0,0,3,True,0.116355285048485,-0.1,0.001,0,0,0,-0.162897400557995,0.100500000524335,0.0500000007450581,0,0
0,0,4,True,0.162897408008575,-0.1,0.001,0,0,0,-0.162897400557995,0.050750000285916,0.0500000007450581,0,0
0,0,5,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.050750000285916,0.0500000007450581,0,0
0,0,6,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.050750000285916,0.0500000007450581,0,0
0,0,7,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.050750000285916,0.0500000007450581,0,0
0,0,8,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.050750000285916,0.0500000007450581,0,0
0,0,9,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,10,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,11,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,12,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,13,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,14,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,15,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,16,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,17,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,18,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,19,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,20,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,21,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,22,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,23,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,24,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,25,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,26,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,27,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,28,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,29,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,30,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,31,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,32,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,33,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,34,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,35,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,36,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,37,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,38,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,39,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,40,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,41,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,42,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,43,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
0,0,44,True,0.162897408008575,-0.1,0.001,0,0,0,-0.209439516067505,0.00100000004749745,0.0500000007450581,0,0
