simulationId,simulationRun,trial,response,stimulus,trueMu,trueSigma,trueSaturation,trueGamma,trueLambda
0,0,1,False,-0.2094395,-0.1,0.001,0,0,0
0,0,2,False,-0.1628974,-0.1,0.001,0,0,0
0,0,3,False,-0.1163553,-0.1,0.001,0,0,0
0,0,4,True,-0.06981317,-0.1,0.001,0,0,0
0,0,5,True,-0.02327105,-0.1,0.001,0,0,0
0,0,6,True,0.02327106,-0.1,0.001,0,0,0
0,0,7,True,0.06981318,-0.1,0.001,0,0,0
0,0,8,True,0.1163553,-0.1,0.001,0,0,0
0,0,9,True,0.1628974,-0.1,0.001,0,0,0
0,0,10,True,0.2094395,-0.1,0.001,0,0,0
0,0,11,False,-0.2094395,-0.1,0.001,0,0,0
0,0,12,False,-0.1628974,-0.1,0.001,0,0,0
0,0,13,False,-0.1163553,-0.1,0.001,0,0,0
0,0,14,True,-0.06981317,-0.1,0.001,0,0,0
0,0,15,True,-0.02327105,-0.1,0.001,0,0,0
0,0,16,True,0.02327106,-0.1,0.001,0,0,0
0,0,17,True,0.06981318,-0.1,0.001,0,0,0
0,0,18,True,0.1163553,-0.1,0.001,0,0,0
0,0,19,True,0.1628974,-0.1,0.001,0,0,0
0,0,20,True,0.2094395,-0.1,0.001,0,0,0
0,0,21,False,-0.2094395,-0.1,0.001,0,0,0
0,0,22,False,-0.1628974,-0.1,0.001,0,0,0
0,0,23,False,-0.1163553,-0.1,0.001,0,0,0
0,0,24,True,-0.06981317,-0.1,0.001,0,0,0
0,0,25,True,-0.02327105,-0.1,0.001,0,0,0
0,0,26,True,0.02327106,-0.1,0.001,0,0,0
0,0,27,True,0.06981318,-0.1,0.001,0,0,0
0,0,28,True,0.1163553,-0.1,0.001,0,0,0
0,0,29,True,0.1628974,-0.1,0.001,0,0,0
0,0,30,True,0.2094395,-0.1,0.001,0,0,0
0,0,31,False,-0.2094395,-0.1,0.001,0,0,0
0,0,32,False,-0.1628974,-0.1,0.001,0,0,0
0,0,33,False,-0.1163553,-0.1,0.001,0,0,0
0,0,34,True,-0.06981317,-0.1,0.001,0,0,0
0,0,35,True,-0.02327105,-0.1,0.001,0,0,0
0,0,36,True,0.02327106,-0.1,0.001,0,0,0
0,0,37,True,0.06981318,-0.1,0.001,0,0,0
0,0,38,True,0.1163553,-0.1,0.001,0,0,0
0,0,39,True,0.1628974,-0.1,0.001,0,0,0
0,0,40,True,0.2094395,-0.1,0.001,0,0,0
0,1,1,False,-0.2094395,-0.1,0.001,0,0,0
0,1,2,False,-0.1628974,-0.1,0.001,0,0,0
0,1,3,False,-0.1163553,-0.1,0.001,0,0,0
0,1,4,True,-0.06981317,-0.1,0.001,0,0,0
0,1,5,True,-0.02327105,-0.1,0.001,0,0,0
0,1,6,True,0.02327106,-0.1,0.001,0,0,0
0,1,7,True,0.06981318,-0.1,0.001,0,0,0
0,1,8,True,0.1163553,-0.1,0.001,0,0,0
0,1,9,True,0.1628974,-0.1,0.001,0,0,0
0,1,10,True,0.2094395,-0.1,0.001,0,0,0
0,1,11,False,-0.2094395,-0.1,0.001,0,0,0
0,1,12,False,-0.1628974,-0.1,0.001,0,0,0
0,1,13,False,-0.1163553,-0.1,0.001,0,0,0
0,1,14,True,-0.06981317,-0.1,0.001,0,0,0
0,1,15,True,-0.02327105,-0.1,0.001,0,0,0
0,1,16,True,0.02327106,-0.1,0.001,0,0,0
0,1,17,True,0.06981318,-0.1,0.001,0,0,0
0,1,18,True,0.1163553,-0.1,0.001,0,0,0
0,1,19,True,0.1628974,-0.1,0.001,0,0,0
0,1,20,True,0.2094395,-0.1,0.001,0,0,0
0,1,21,False,-0.2094395,-0.1,0.001,0,0,0
0,1,22,False,-0.1628974,-0.1,0.001,0,0,0
0,1,23,False,-0.1163553,-0.1,0.001,0,0,0
0,1,24,True,-0.06981317,-0.1,0.001,0,0,0
0,1,25,True,-0.02327105,-0.1,0.001,0,0,0
0,1,26,True,0.02327106,-0.1,0.001,0,0,0
0,1,27,True,0.06981318,-0.1,0.001,0,0,0
0,1,28,True,0.1163553,-0.1,0.001,0,0,0
0,1,29,True,0.1628974,-0.1,0.001,0,0,0
0,1,30,True,0.2094395,-0.1,0.001,0,0,0
0,1,31,False,-0.2094395,-0.1,0.001,0,0,0
0,1,32,False,-0.1628974,-0.1,0.001,0,0,0
0,1,33,False,-0.1163553,-0.1,0.001,0,0,0
0,1,34,True,-0.06981317,-0.1,0.001,0,0,0
0,1,35,True,-0.02327105,-0.1,0.001,0,0,0
0,1,36,True,0.02327106,-0.1,0.001,0,0,0
0,1,37,True,0.06981318,-0.1,0.001,0,0,0
0,1,38,True,0.1163553,-0.1,0.001,0,0,0
0,1,39,True,0.1628974,-0.1,0.001,0,0,0
0,1,40,True,0.2094395,-0.1,0.001,0,0,0
0,2,1,False,-0.2094395,-0.1,0.001,0,0,0
0,2,2,False,-0.1628974,-0.1,0.001,0,0,0
0,2,3,False,-0.1163553,-0.1,0.001,0,0,0
0,2,4,True,-0.06981317,-0.1,0.001,0,0,0
0,2,5,True,-0.02327105,-0.1,0.001,0,0,0
0,2,6,True,0.02327106,-0.1,0.001,0,0,0
0,2,7,True,0.06981318,-0.1,0.001,0,0,0
0,2,8,True,0.1163553,-0.1,0.001,0,0,0
0,2,9,True,0.1628974,-0.1,0.001,0,0,0
0,2,10,True,0.2094395,-0.1,0.001,0,0,0
0,2,11,False,-0.2094395,-0.1,0.001,0,0,0
0,2,12,False,-0.1628974,-0.1,0.001,0,0,0
0,2,13,False,-0.1163553,-0.1,0.001,0,0,0
0,2,14,True,-0.06981317,-0.1,0.001,0,0,0
0,2,15,True,-0.02327105,-0.1,0.001,0,0,0
0,2,16,True,0.02327106,-0.1,0.001,0,0,0
0,2,17,True,0.06981318,-0.1,0.001,0,0,0
0,2,18,True,0.1163553,-0.1,0.001,0,0,0
0,2,19,True,0.1628974,-0.1,0.001,0,0,0
0,2,20,True,0.2094395,-0.1,0.001,0,0,0
0,2,21,False,-0.2094395,-0.1,0.001,0,0,0
0,2,22,False,-0.1628974,-0.1,0.001,0,0,0
0,2,23,False,-0.1163553,-0.1,0.001,0,0,0
0,2,24,True,-0.06981317,-0.1,0.001,0,0,0
0,2,25,True,-0.02327105,-0.1,0.001,0,0,0
0,2,26,True,0.02327106,-0.1,0.001,0,0,0
0,2,27,True,0.06981318,-0.1,0.001,0,0,0
0,2,28,True,0.1163553,-0.1,0.001,0,0,0
0,2,29,True,0.1628974,-0.1,0.001,0,0,0
0,2,30,True,0.2094395,-0.1,0.001,0,0,0
0,2,31,False,-0.2094395,-0.1,0.001,0,0,0
0,2,32,False,-0.1628974,-0.1,0.001,0,0,0
0,2,33,False,-0.1163553,-0.1,0.001,0,0,0
0,2,34,True,-0.06981317,-0.1,0.001,0,0,0
0,2,35,True,-0.02327105,-0.1,0.001,0,0,0
0,2,36,True,0.02327106,-0.1,0.001,0,0,0
0,2,37,True,0.06981318,-0.1,0.001,0,0,0
0,2,38,True,0.1163553,-0.1,0.001,0,0,0
0,2,39,True,0.1628974,-0.1,0.001,0,0,0
0,2,40,True,0.2094395,-0.1,0.001,0,0,0
0,3,1,False,-0.2094395,-0.1,0.001,0,0,0
0,3,2,False,-0.1628974,-0.1,0.001,0,0,0
0,3,3,False,-0.1163553,-0.1,0.001,0,0,0
0,3,4,True,-0.06981317,-0.1,0.001,0,0,0
