simulationId,simulationRun,trial,response,stimulus,trueMu,trueSigma,trueSaturation,trueGamma,trueLambda
 0,0,1,False,-0.2094395,0.05,0.001,0,0,0
0,0,2,False,-0.1628974,0.05,0.001,0,0,0
0,0,3,False,-0.1163553,0.05,0.001,0,0,0
0,0,4,False,-0.06981316,0.05,0.001,0,0,0
0,0,5,False,-0.02327105,0.05,0.001,0,0,0
0,0,6,False,0.02327106,0.05,0.001,0,0,0
0,0,7,True,0.06981317,0.05,0.001,0,0,0
0,0,8,True,0.1163553,0.05,0.001,0,0,0
0,0,9,True,0.1628974,0.05,0.001,0,0,0
0,0,10,True,0.2094395,0.05,0.001,0,0,0
0,0,11,False,-0.2094395,0.05,0.001,0,0,0
0,0,12,False,-0.1628974,0.05,0.001,0,0,0
0,0,13,False,-0.1163553,0.05,0.001,0,0,0
0,0,14,False,-0.06981316,0.05,0.001,0,0,0
0,0,15,False,-0.02327105,0.05,0.001,0,0,0
0,0,16,False,0.02327106,0.05,0.001,0,0,0
0,0,17,True,0.06981317,0.05,0.001,0,0,0
0,0,18,True,0.1163553,0.05,0.001,0,0,0
0,0,19,True,0.1628974,0.05,0.001,0,0,0
0,0,20,True,0.2094395,0.05,0.001,0,0,0
0,1,1,False,-0.2094395,0.05,0.001,0,0,0
0,1,2,False,-0.1628974,0.05,0.001,0,0,0
0,1,3,False,-0.1163553,0.05,0.001,0,0,0
0,1,4,False,-0.06981316,0.05,0.001,0,0,0
0,1,5,False,-0.02327105,0.05,0.001,0,0,0
0,1,6,False,0.02327106,0.05,0.001,0,0,0
0,1,7,True,0.06981317,0.05,0.001,0,0,0
0,1,8,True,0.1163553,0.05,0.001,0,0,0
0,1,9,True,0.1628974,0.05,0.001,0,0,0
0,1,10,True,0.2094395,0.05,0.001,0,0,0
0,1,11,False,-0.2094395,0.05,0.001,0,0,0
0,1,12,False,-0.1628974,0.05,0.001,0,0,0
0,1,13,False,-0.1163553,0.05,0.001,0,0,0
0,1,14,False,-0.06981316,0.05,0.001,0,0,0
0,1,15,False,-0.02327105,0.05,0.001,0,0,0
0,1,16,False,0.02327106,0.05,0.001,0,0,0
0,1,17,True,0.06981317,0.05,0.001,0,0,0
0,1,18,True,0.1163553,0.05,0.001,0,0,0
0,1,19,True,0.1628974,0.05,0.001,0,0,0
0,1,20,True,0.2094395,0.05,0.001,0,0,0
0,2,1,False,-0.2094395,0.05,0.001,0,0,0
0,2,2,False,-0.1628974,0.05,0.001,0,0,0
0,2,3,False,-0.1163553,0.05,0.001,0,0,0
0,2,4,False,-0.06981316,0.05,0.001,0,0,0
0,2,5,False,-0.02327105,0.05,0.001,0,0,0
0,2,6,False,0.02327106,0.05,0.001,0,0,0
0,2,7,True,0.06981317,0.05,0.001,0,0,0
0,2,8,True,0.1163553,0.05,0.001,0,0,0
0,2,9,True,0.1628974,0.05,0.001,0,0,0
0,2,10,True,0.2094395,0.05,0.001,0,0,0
0,2,11,False,-0.2094395,0.05,0.001,0,0,0
0,2,12,False,-0.1628974,0.05,0.001,0,0,0
0,2,13,False,-0.1163553,0.05,0.001,0,0,0
0,2,14,False,-0.06981316,0.05,0.001,0,0,0
0,2,15,False,-0.02327105,0.05,0.001,0,0,0
0,2,16,False,0.02327106,0.05,0.001,0,0,0
0,2,17,True,0.06981317,0.05,0.001,0,0,0
0,2,18,True,0.1163553,0.05,0.001,0,0,0
0,2,19,True,0.1628974,0.05,0.001,0,0,0
0,2,20,True,0.2094395,0.05,0.001,0,0,0
0,3,1,False,-0.2094395,0.05,0.001,0,0,0
0,3,2,False,-0.1628974,0.05,0.001,0,0,0
0,3,3,False,-0.1163553,0.05,0.001,0,0,0
0,3,4,False,-0.06981316,0.05,0.001,0,0,0
0,3,5,False,-0.02327105,0.05,0.001,0,0,0
0,3,6,False,0.02327106,0.05,0.001,0,0,0
0,3,7,True,0.06981317,0.05,0.001,0,0,0
0,3,8,True,0.1163553,0.05,0.001,0,0,0
0,3,9,True,0.1628974,0.05,0.001,0,0,0
0,3,10,True,0.2094395,0.05,0.001,0,0,0
0,3,11,False,-0.2094395,0.05,0.001,0,0,0
0,3,12,False,-0.1628974,0.05,0.001,0,0,0
