trial, subject_code, session, quest_id, stimuli, response,  mu_estimated, sigma_estimated, saturation_estimated 
 0,4,1,2,-0.02327105,1,-0.0698131695389748,0.100500000524335,0.0500000007450581
1,4,1,2,-0.1163553,1,-0.162897400557995,0.100500000524335,0.0500000007450581
2,4,1,2,-0.1163553,0,-0.116355285048485,0.100500000524335,0.0500000007450581
3,4,1,2,-0.06981317,0,-0.0698131695389748,0.150250000762753,0.0500000007450581
4,4,1,2,-0.02327105,1,-0.0698131695389748,0.150250000762753,0.0500000007450581
5,4,1,2,-0.1163553,1,-0.116355285048485,0.150250000762753,0.0500000007450581
6,4,1,2,-0.1628974,0,-0.116355285048485,0.150250000762753,0.0500000007450581
7,4,1,2,-0.06981317,0,-0.0698131695389748,0.150250000762753,0.0500000007450581
8,4,1,2,-0.02327105,0,-0.0698131695389748,0.150250000762753,0.0500000007450581
9,4,1,2,0.02327106,1,-0.0698131695389748,0.150250000762753,0.0500000007450581
10,4,1,2,0.02327106,1,-0.0698131695389748,0.150250000762753,0.0500000007450581
11,4,1,2,-0.1163553,1,-0.116355285048485,0.150250000762753,0.0500000007450581
12,4,1,2,-0.1628974,0,-0.0698131695389748,0.150250000762753,0.0500000007450581
13,4,1,2,-0.1628974,0,-0.0698131695389748,0.150250000762753,0.0500000007450581
14,4,1,2,0.02327106,1,-0.0698131695389748,0.150250000762753,0.0500000007450581
15,4,1,2,-0.1628974,1,-0.116355285048485,0.150250000762753,0.0500000007450581
16,4,1,2,-0.1628974,1,-0.116355285048485,0.150250000762753,0.0500000007450581
17,4,1,2,-0.2094395,1,-0.116355285048485,0.150250000762753,0.0500000007450581
18,4,1,2,-0.2094395,0,-0.116355285048485,0.150250000762753,0.0500000007450581
19,4,1,2,-0.2094395,1,-0.162897400557995,0.150250000762753,0.0500000007450581
20,4,1,2,-0.06981317,0,-0.116355285048485,0.150250000762753,0.0500000007450581
21,4,1,2,-0.2094395,1,-0.162897400557995,0.150250000762753,0.0500000007450581
22,4,1,2,-0.06981317,0,-0.116355285048485,0.200000001001172,0.0500000007450581
23,4,1,2,-0.1628974,1,-0.162897400557995,0.200000001001172,0.0500000007450581
24,4,1,2,-0.2094395,1,-0.162897400557995,0.200000001001172,0.0500000007450581
25,4,1,2,-0.06981317,0,-0.162897400557995,0.200000001001172,0.0500000007450581
26,4,1,2,-0.1628974,1,-0.162897400557995,0.200000001001172,0.0500000007450581
27,4,1,2,-0.1163553,1,-0.162897400557995,0.200000001001172,0.0500000007450581
28,4,1,2,-0.2094395,1,-0.162897400557995,0.200000001001172,0.0500000007450581
29,4,1,2,-0.06981317,1,-0.162897400557995,0.200000001001172,0.0500000007450581
