trial, subject_code, session, quest_id, stimuli, response,  mu_estimated, sigma_estimated, saturation_estimated 
 0,1,15,2,-0.02327105,0,0.0698131769895554,0.100500000524335,0.0500000007450581
1,1,15,2,0.06981318,1,0.0232710614800453,0.100500000524335,0.0500000007450581
2,1,15,2,0.02327106,0,0.0698131769895554,0.100500000524335,0.0500000007450581
3,1,15,2,0.1163553,0,0.116355292499065,0.150250000762753,0.0500000007450581
4,1,15,2,0.1163553,0,0.162897408008575,0.100500000524335,0.0500000007450581
5,1,15,2,0.1163553,0,0.162897408008575,0.100500000524335,0.0500000007450581
6,1,15,2,0.1163553,0,0.162897408008575,0.100500000524335,0.0500000007450581
7,1,15,2,0.1163553,0,0.162897408008575,0.100500000524335,0.0500000007450581
8,1,15,2,0.1628974,0,0.209439523518085,0.100500000524335,0.0500000007450581
9,1,15,2,0.1628974,0,0.209439523518085,0.050750000285916,0.0500000007450581
10,1,15,2,0.1628974,0,0.209439523518085,0.050750000285916,0.0500000007450581
11,1,15,2,0.1628974,0,0.209439523518085,0.050750000285916,0.0500000007450581
12,1,15,2,0.1628974,1,0.209439523518085,0.100500000524335,0.0500000007450581
13,1,15,2,0.1628974,1,0.209439523518085,0.100500000524335,0.0500000007450581
14,1,15,2,0.2094395,0,0.209439523518085,0.100500000524335,0.0500000007450581
15,1,15,2,0.1163553,0,0.209439523518085,0.100500000524335,0.0500000007450581
16,1,15,2,0.1163553,0,0.209439523518085,0.100500000524335,0.0500000007450581
17,1,15,2,0.1163553,1,0.209439523518085,0.150250000762753,0.0500000007450581
18,1,15,2,0.1163553,1,0.209439523518085,0.150250000762753,0.0500000007450581
19,1,15,2,0.06981318,0,0.209439523518085,0.150250000762753,0.0500000007450581
20,1,15,2,0.06981318,0,0.209439523518085,0.150250000762753,0.0500000007450581
21,1,15,2,0.06981318,0,0.209439523518085,0.150250000762753,0.0500000007450581
22,1,15,2,0.06981318,1,0.209439523518085,0.150250000762753,0.0500000007450581
23,1,15,2,0.06981318,1,0.162897408008575,0.150250000762753,0.0500000007450581
24,1,15,2,0.06981318,1,0.162897408008575,0.150250000762753,0.0500000007450581
25,1,15,2,0.02327106,0,0.162897408008575,0.150250000762753,0.0500000007450581
26,1,15,2,0.02327106,1,0.162897408008575,0.150250000762753,0.0500000007450581
27,1,15,2,0.2094395,0,0.162897408008575,0.200000001001172,0.0500000007450581
28,1,15,2,0.06981318,0,0.162897408008575,0.150250000762753,0.0500000007450581
29,1,15,2,0.02327106,0,0.162897408008575,0.150250000762753,0.0500000007450581
