trial, subject_code, session, quest_id, stimuli, response,  mu_estimated, sigma_estimated, saturation_estimated 
 0,4,10,3,-0.02327105,0,0.0698131769895554,0.100500000524335,0.0500000007450581
1,4,10,3,0.06981318,0,0.116355292499065,0.100500000524335,0.0500000007450581
2,4,10,3,0.1163553,0,0.162897408008575,0.100500000524335,0.0500000007450581
3,4,10,3,0.1628974,0,0.162897408008575,0.100500000524335,0.0500000007450581
4,4,10,3,0.1628974,0,0.209439523518085,0.050750000285916,0.0500000007450581
5,4,10,3,0.1628974,0,0.209439523518085,0.050750000285916,0.0500000007450581
6,4,10,3,0.1628974,1,0.162897408008575,0.100500000524335,0.0500000007450581
7,4,10,3,0.1163553,0,0.209439523518085,0.100500000524335,0.0500000007450581
8,4,10,3,0.2094395,1,0.162897408008575,0.050750000285916,0.0500000007450581
9,4,10,3,0.2094395,1,0.162897408008575,0.050750000285916,0.0500000007450581
10,4,10,3,0.2094395,1,0.162897408008575,0.050750000285916,0.0500000007450581
11,4,10,3,0.2094395,1,0.162897408008575,0.050750000285916,0.0500000007450581
12,4,10,3,0.2094395,0,0.162897408008575,0.100500000524335,0.0500000007450581
13,4,10,3,0.2094395,0,0.209439523518085,0.100500000524335,0.0500000007450581
14,4,10,3,0.1628974,0,0.209439523518085,0.100500000524335,0.0500000007450581
15,4,10,3,0.1628974,0,0.209439523518085,0.050750000285916,0.0500000007450581
16,4,10,3,0.1628974,1,0.209439523518085,0.100500000524335,0.0500000007450581
17,4,10,3,0.1163553,0,0.209439523518085,0.100500000524335,0.0500000007450581
18,4,10,3,0.1163553,0,0.209439523518085,0.100500000524335,0.0500000007450581
19,4,10,3,0.1628974,0,0.209439523518085,0.100500000524335,0.0500000007450581
20,4,10,3,0.1628974,1,0.209439523518085,0.100500000524335,0.0500000007450581
21,4,10,3,0.1163553,1,0.209439523518085,0.100500000524335,0.0500000007450581
22,4,10,3,0.06981318,0,0.209439523518085,0.100500000524335,0.0500000007450581
23,4,10,3,0.06981318,1,0.162897408008575,0.150250000762753,0.0500000007450581
24,4,10,3,0.06981318,0,0.162897408008575,0.150250000762753,0.0500000007450581
25,4,10,3,0.06981318,1,0.162897408008575,0.150250000762753,0.0500000007450581
26,4,10,3,0.06981318,1,0.162897408008575,0.150250000762753,0.0500000007450581
27,4,10,3,0.06981318,0,0.162897408008575,0.150250000762753,0.0500000007450581
28,4,10,3,0.06981318,0,0.162897408008575,0.150250000762753,0.0500000007450581
29,4,10,3,0.06981318,0,0.162897408008575,0.150250000762753,0.0500000007450581
