trial, subject_code, session, quest_id, stimuli, response,  mu_estimated, sigma_estimated, saturation_estimated 
 0,2,15,3,-0.02327105,0,0.0698131769895554,0.100500000524335,0.0500000007450581
1,2,15,3,0.06981318,0,0.116355292499065,0.100500000524335,0.0500000007450581
2,2,15,3,0.1163553,1,0.0698131769895554,0.100500000524335,0.0500000007450581
3,2,15,3,0.06981318,1,0.0232710614800453,0.100500000524335,0.0500000007450581
4,2,15,3,0.02327106,0,0.0698131769895554,0.100500000524335,0.0500000007450581
5,2,15,3,0.1163553,1,0.0698131769895554,0.100500000524335,0.0500000007450581
6,2,15,3,0.02327106,1,0.0232710614800453,0.100500000524335,0.0500000007450581
7,2,15,3,-0.02327105,0,0.0232710614800453,0.100500000524335,0.0500000007450581
8,2,15,3,-0.02327105,0,0.0698131769895554,0.100500000524335,0.0500000007450581
9,2,15,3,0.1163553,1,0.0232710614800453,0.100500000524335,0.0500000007450581
10,2,15,3,0.02327106,1,0.0232710614800453,0.100500000524335,0.0500000007450581
11,2,15,3,-0.02327105,0,0.0232710614800453,0.100500000524335,0.0500000007450581
12,2,15,3,0.06981318,1,0.0232710614800453,0.100500000524335,0.0500000007450581
13,2,15,3,0.06981318,1,0.0232710614800453,0.050750000285916,0.0500000007450581
14,2,15,3,-0.02327105,0,0.0232710614800453,0.050750000285916,0.0500000007450581
15,2,15,3,0.06981318,0,0.0232710614800453,0.100500000524335,0.0500000007450581
16,2,15,3,0.06981318,1,0.0232710614800453,0.100500000524335,0.0500000007450581
17,2,15,3,0.06981318,1,0.0232710614800453,0.100500000524335,0.0500000007450581
18,2,15,3,-0.02327105,0,0.0232710614800453,0.050750000285916,0.0500000007450581
19,2,15,3,0.06981318,1,0.0232710614800453,0.050750000285916,0.0500000007450581
20,2,15,3,0.06981318,1,0.0232710614800453,0.050750000285916,0.0500000007450581
21,2,15,3,-0.02327105,0,0.0232710614800453,0.050750000285916,0.0500000007450581
22,2,15,3,0.06981318,1,0.0232710614800453,0.050750000285916,0.0500000007450581
23,2,15,3,0.06981318,0,0.0232710614800453,0.050750000285916,0.0500000007450581
24,2,15,3,0.06981318,1,0.0232710614800453,0.050750000285916,0.0500000007450581
25,2,15,3,0.06981318,1,0.0232710614800453,0.050750000285916,0.0500000007450581
26,2,15,3,-0.02327105,0,0.0232710614800453,0.050750000285916,0.0500000007450581
27,2,15,3,0.06981318,1,0.0232710614800453,0.050750000285916,0.0500000007450581
28,2,15,3,0.06981318,1,0.0232710614800453,0.050750000285916,0.0500000007450581
29,2,15,3,-0.02327105,0,0.0232710614800453,0.050750000285916,0.0500000007450581
