trial, subject_code, session, quest_id, stimuli, response,  mu_estimated, sigma_estimated, saturation_estimated 
 0,1,5,3,-0.02327105,1,-0.0698131695389748,0.100500000524335,0.0500000007450581
1,1,5,3,-0.1163553,0,-0.0232710540294647,0.100500000524335,0.0500000007450581
2,1,5,3,-0.02327105,0,0.0232710614800453,0.100500000524335,0.0500000007450581
3,1,5,3,0.02327106,0,0.0698131769895554,0.150250000762753,0.0500000007450581
4,1,5,3,0.06981318,1,0.0232710614800453,0.150250000762753,0.0500000007450581
5,1,5,3,0.02327106,1,-0.0232710540294647,0.150250000762753,0.0500000007450581
6,1,5,3,-0.02327105,1,-0.0232710540294647,0.150250000762753,0.0500000007450581
7,1,5,3,-0.06981317,0,-0.0232710540294647,0.150250000762753,0.0500000007450581
8,1,5,3,0.02327106,1,-0.0232710540294647,0.100500000524335,0.0500000007450581
9,1,5,3,-0.06981317,0,-0.0232710540294647,0.100500000524335,0.0500000007450581
10,1,5,3,0.02327106,0,0.0232710614800453,0.150250000762753,0.0500000007450581
11,1,5,3,0.06981318,1,-0.0232710540294647,0.100500000524335,0.0500000007450581
12,1,5,3,0.06981318,1,-0.0232710540294647,0.100500000524335,0.0500000007450581
13,1,5,3,-0.06981317,0,-0.0232710540294647,0.100500000524335,0.0500000007450581
14,1,5,3,0.06981318,1,-0.0232710540294647,0.100500000524335,0.0500000007450581
15,1,5,3,-0.06981317,1,-0.0232710540294647,0.100500000524335,0.0500000007450581
16,1,5,3,-0.1163553,1,-0.0698131695389748,0.150250000762753,0.0500000007450581
17,1,5,3,-0.1163553,1,-0.0698131695389748,0.150250000762753,0.0500000007450581
18,1,5,3,-0.1628974,0,-0.0698131695389748,0.150250000762753,0.0500000007450581
19,1,5,3,-0.1628974,0,-0.0698131695389748,0.150250000762753,0.0500000007450581
20,1,5,3,-0.1628974,1,-0.0698131695389748,0.150250000762753,0.0500000007450581
21,1,5,3,-0.1628974,0,-0.0698131695389748,0.150250000762753,0.0500000007450581
22,1,5,3,-0.1628974,1,-0.0698131695389748,0.150250000762753,0.0500000007450581
23,1,5,3,-0.1628974,1,-0.116355285048485,0.150250000762753,0.0500000007450581
24,1,5,3,-0.1628974,1,-0.116355285048485,0.200000001001172,0.0500000007450581
25,1,5,3,-0.2094395,0,-0.116355285048485,0.150250000762753,0.0500000007450581
26,1,5,3,-0.2094395,0,-0.116355285048485,0.150250000762753,0.0500000007450581
27,1,5,3,-0.2094395,0,-0.116355285048485,0.150250000762753,0.0500000007450581
28,1,5,3,-0.2094395,1,-0.116355285048485,0.150250000762753,0.0500000007450581
29,1,5,3,-0.2094395,0,-0.116355285048485,0.150250000762753,0.0500000007450581
